"label","timestamp"
1,1.3847429752349854
2,5.601135730743408
3,9.81505012512207
4,14.029607772827148
1,18.246488571166992
2,22.46204376220703
3,26.676843643188477
4,30.892473220825195
1,35.106929779052734
2,39.32276153564453
3,43.53715896606445
4,47.753639221191406
1,51.97160720825195
2,56.18592834472656
3,60.40042495727539
4,64.6165771484375
1,68.83161163330078
2,73.04973602294922
3,77.26525115966797
4,81.47938537597656
1,85.69532775878906
2,89.91255950927734
3,94.12627410888672
4,98.34137725830078
1,102.5557861328125
2,106.77372741699219
3,110.99056243896484
4,115.20541381835938
1,119.42001342773438
2,123.63424682617188
3,127.849365234375
4,132.06423950195312
255,136.78204345703125
